Constituency No,S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes
7,5,DHEERAJ KUMAR,Peoples Party of India (Democratic),216,0,216
7,6,BABITA,Asankhya Samaj Party,188,2,190
7,7,HARI KISHAN MECHANIC,Independent,278,1,279
7,8,NOTA,None of the Above,1339,7,1346
8,1,GAJENDER DRALL,Bharatiya Janata Party,89128,711,89839
8,2,JASBIR KARALA,Aam Aadmi Party,79062,227,79289
8,3,DHARAMPAL LAKRA,Indian National Congress,10241,49,10290
8,4,SUMAN LATA SEHRAWAT,Bahujan Samaj Party,544,4,548
8,5,MAHAVIR,All India Forward Bloc,93,1,94
8,6,YOGENDER SINGH ALIAS YOGI MATHUR,Akhil Bharatiya Socialist Party,86,1,87
8,7,SUNIL KUMAR,National Loktantrik Party,165,1,166
8,8,SANJAYA KUMAR YADAV,Right to Recall Party,61,0,61
8,9,SANTOSH,Indian National Socialistic Action Forces,84,0,84
8,10,ANDEEP DRALL,Independent,112,3,115
8,11,RAJNI,Independent,128,1,129
8,12,RAMBIR SHOKEEN,Independent,8621,34,8655
8,13,SUNITA SHEKHAR CHAWARIYA,Independent,408,0,408
8,14,NOTA,None of the Above,1076,12,1088
9,1,ANIL JHA,Aam Aadmi Party,105660,120,105780
9,2,JUGBIR SINGH,Bahujan Samaj Party,2116,12,2128
9,3,BAJRANG SHUKLA,Bharatiya Janata Party,83749,160,83909
9,4,RAJESH KUMAR GUPTA,Indian National Congress,6847,17,6864
9,5,AFSANA SARWAR,Peace Party,208,0,208
9,6,MALIK NEYAZ AHMAD,Aazad Samaj Party (Kanshi Ram),885,0,885
9,7,SUDESH SHARMA,Rashtriya Manav Party,212,0,212
9,8,PRAKASH SRIVASTAV,Independent,588,0,588
9,9,RAKESH,Independent,472,1,473
9,10,NOTA,None of the Above,1363,3,1366
10,1,KARAM SINGH KARMA,Bharatiya Janata Party,41549,92,41641
10,2,KULWANT RANA,Bahujan Samaj Party,1882,3,1885
10,3,JAI KISHAN,Indian National Congress,8671,17,8688
10,4,MUKESH KUMAR AHLAWAT,Aam Aadmi Party,58687,80,58767
10,5,KARAN SINGH,Swaraj Bhartiya Nyay Party,151,0,151
10,6,JITENDER,Jai Maha Bharath Party,555,0,555
10,7,PREETI,Yuva Bharat Rashtraseva Party,82,0,82
10,8,BABU LAL,Bharatiya Sampuran Krantikari Party,91,0,91
10,9,LAXMI,Republican Party of India (Athawale),70,0,70
10,10,SANGEETA,Rashtriya Lok Sevak Party,72,0,72
10,11,DEEPAK KUMAR,Independent,177,0,177
10,12,RAMSWAROOP SAMRIA,Independent,150,2,152
10,13,NOTA,None of the Above,488,6,494
11,1,MANOJ KUMAR SHOKEEN,Bharatiya Janata Party,74950,322,75272
11,2,MUKESH KUMAR,Bahujan Samaj Party,792,3,795
11,3,RAGHUVINDER SHOKEEN,Aam Aadmi Party,48907,114,49021
11,4,ROHIT CHOUDHARY,Indian National Congress,31918,110,32028
11,5,KANCHAN SHARMA,Rashtriya Manav Party,162,0,162
11,6,MAHENDER SINGH RATHOR,Rashtriya Lok Sevak Party,152,0,152
11,7,YATENDER SHARMA,Azad Adhikar Sena,389,1,390
11,8,RAM SAJIVAN,Peoples Party of India (Democratic),204,1,205
11,9,DILIP KUMAR SHARMA,Independent,373,0,373
11,10,NOTA,None of the Above,915,9,924
12,1,DHARAM RAKSHAK ALIAS RAKESH JATAV,Aam Aadmi Party,55659,93,55752
12,2,MUKESH KUMAR,Bahujan Samaj Party,721,3,724
12,3,RAJ KUMAR CHAUHAN,Bharatiya Janata Party,61805,202,62007
12,4,HANUMAN SAHAY ALIAS HANUMAN CHAUHAN,Indian National Congress,3761,23,3784
12,5,KHILKHILAKAR,Bahujan Shoshit Samaj Sangharsh Samta Party,171,0,171
12,6,JAI BHAGWAN,Independent,250,0,250
12,7,NOTA,None of the Above,760,2,762
13,1,PARDEEP MITTAL,Aam Aadmi Party,32442,107,32549
13,2,VIJENDER GUPTA,Bharatiya Janata Party,69890,475,70365
13,3,SUMESH GUPTA,Indian National Congress,3721,44,3765
13,4,HARSHAD CHADHA,Bahujan Samaj Party,194,3,197
13,5,ABHISHEK,Jai Maha Bharath Party,118,0,118
13,6,AMIT SAINI,Jan Samuh Party,91,1,92
13,7,NARENDER SINGH PANWAR,Independent,52,2,54
13,8,RAJBIR,Independent,62,0,62
13,9,NOTA,None of the Above,1027,4,1031
14,1,PARVEEN KUMAR JAIN,Indian National Congress,4845,47,4892
14,2,BANDANA KUMARI,Aam Aadmi Party,38487,118,38605
14,3,REKHA GUPTA,Bharatiya Janata Party,67839,361,68200
14,4,SHYAM KUMAR,Bahujan Samaj Party,410,1,411
14,5,RANJEET VERMA,New India United Party,35,0,35
14,6,MOHD. USMAN,Independent,98,0,98
14,7,RAJESH KUMAR,Independent,143,0,143
14,8,RINA DEVI,Independent,252,0,252
14,9,SAURABH GUPTA,Independent,356,2,358
14,10,NOTA,None of the Above,768,2,770
15,1,KARNAIL SINGH,Bharatiya Janata Party,56570,299,56869
15,2,SATISH KUMAR LUTHRA,Indian National Congress,5736,48,5784
15,3,SATYENDAR JAIN,Aam Aadmi Party,35775,96,35871
15,4,VIJAY KUMAR,Bahujan Samaj Party,164,0,164
15,5,TAMANA,Yuva Bharat Rashtraseva Party,115,0,115
15,6,RAJESH GUPTA,Bharat Lok Sewak Party,99,1,100
15,7,JUGAL CHAWLA,Independent,76,0,76
15,8,NOTA,None of the Above,672,1,673
16,1,TILAK RAM GUPTA,Bharatiya Janata Party,58836,237,59073
16,2,PAWAN GARG,Bahujan Samaj Party,562,4,566
16,3,PREETI JITENDER TOMAR,Aam Aadmi Party,43083,94,43177
16,4,SATENDER SHARMA,Indian National Congress,6867,30,6897
16,5,SUBHASH,Asankhya Samaj Party,180,1,181
16,6,SURENDRA SINGH BASOYA,Peoples Party of India (Democratic),114,1,115
16,7,NOTA,None of the Above,682,6,688
17,1,POONAM SHARMA,Bharatiya Janata Party,54414,307,54721
17,2,RAGINI NAYAK,Indian National Congress,6311,37,6348
17,3,RAJESH GUPTA,Aam Aadmi Party,43194,102,43296
17,4,HIRA LAL,Bahujan Samaj Party,1046,1,1047
17,5,DEVENDER KUMAR,Communist Party of India,190,0,190
17,6,MAHESH BANSAL,Right to Recall Party,64,0,64
17,7,SHEELA DEVI,Garib Ekta Party,63,0,63
17,8,AAKASH GOEL,Independent,233,1,234
17,9,MUKESH JAIN,Independent,173,0,173
17,10,NOTA,None of the Above,652,0,652
18,1,AKHILESH PATI TRIPATHI,Aam Aadmi Party,38608,85,38693
18,2,ASHOK GOEL,Bharatiya Janata Party,51848,260,52108
18,3,KANWAR KARAN SINGH,Indian National Congress,3886,22,3908
18,4,CHUNNI LAL,Bahujan Samaj Party,372,0,372
18,5,AWDHESH KUMAR JHA,Right to Recall Party,33,0,33
18,6,PANKAJ KUMAR,Rashtravadi Janata Party,58,0,58
18,7,VIVEK GIRI,Aapki Apni Party (Peoples),118,0,118
18,8,CHANDER PAL,Independent,119,0,119
18,9,ROMAN RASHID,Independent,224,0,224
18,10,NOTA,None of the Above,682,3,685
19,1,ANIL BHARDWAJ,Indian National Congress,10022,35,10057
19,2,MANOJ KUMAR JINDAL,Bharatiya Janata Party,49671,199,49870
19,3,SHAIL KUMARI,Bahujan Samaj Party,708,1,709
19,4,SOM DUTT,Aam Aadmi Party,56070,107,56177
19,5,ANITA BANSAL,Asankhya Samaj Party,123,0,123
19,6,ASHA RANI,Socialist Unity Centre Of India (COMMUNIST),184,0,184
19,7,UMESH RATHOR,Atulya Bharat Party,49,1,50
19,8,MADHU BALA,Jai Maha Bharath Party,213,0,213
19,9,MEENAKSHI KUMARI,Bharatiya Liberal Party,247,0,247
19,10,LAXMI THAKUR SINGHAL,Abhinav Bharat Party,84,0,84
19,11,CA SOHARSH GULGULIA JAIN,Jantantrik Samta Party,100,0,100
19,12,NOTA,None of the Above,584,2,586
20,1,KALI CHARAN,Bahujan Samaj Party,246,0,246
20,2,PUNARDEEP SINGH SAWHNEY (SABBY),Aam Aadmi Party,38932,61,38993
20,3,MUDIT AGARWAL,Indian National Congress,9038,27,9065
20,4,SATISH JAIN,Bharatiya Janata Party,22359,62,22421
20,5,KHALID UR REHMAN,Nationalist Congress Party,81,0,81
20,6,MOHAMMAD MURSALEEN,Indian National Socialistic Action Forces,45,0,45
20,7,RAHUL TIWARI,Right to Recall Party,69,0,69
20,8,NOTA,None of the Above,249,4,253
21,1,AALEY MOHAMMED IQBAL,Aam Aadmi Party,58041,79,58120
21,2,ASIM AHMED KHAN,Indian National Congress,10274,21,10295
21,3,TEJ RAM,Bahujan Samaj Party,129,1,130
21,4,DEEPTI INDORA,Bharatiya Janata Party,15351,45,15396
21,5,MOHD JAVED,Nationalist Congress Party,56,0,56
21,6,AMAR NATH,Independent,93,0,93
21,7,ZAINUDDIN,Independent,10,1,11
21,8,FIRDOUS AHMAD,Independent,31,0,31
21,9,BHAGWAN DASS,Independent,35,0,35
21,10,MOHAMMAD AHMED SAIFI,Independent,60,0,60
21,11,MOAZAM KHAN,Independent,31,0,31
21,12,NOTA,None of the Above,217,0,217
22,1,IMRAN HUSSAIN,Aam Aadmi Party,56932,72,57004
22,2,KAMAL BAGRI,Bharatiya Janata Party,27119,62,27181
22,3,SONU,Bahujan Samaj Party,190,0,190
22,4,HAROON YUSUF,Indian National Congress,13038,21,13059
22,5,ABRAR,Aam Aadmi Parivartan Party,224,0,224
22,6,MD HAROON,Nationalist Congress Party,38,0,38
22,7,BABU LAL,Independent,130,1,131
22,8,MOHD. SHADAB,Independent,72,0,72
22,9,HANSA,Independent,77,0,77
22,10,NOTA,None of the Above,299,2,301
23,1,DUSHYANT GAUTAM,Bharatiya Janata Party,44750,117,44867
23,2,RAHUL KUMAR,Indian National Congress,4232,20,4252
23,3,RANJEET,Bahujan Samaj Party,624,2,626
23,4,VISHESH RAVI,Aam Aadmi Party,52153,144,52297
23,5,SHIV KUMAR,Rashtriya Aikta Manch Party,116,0,116
23,6,DEEPAK KUMAR,Independent,87,1,88
23,7,NOTA,None of the Above,543,5,548
24,1,KRISHNA TIRATH,Indian National Congress,4610,44,4654
24,2,PRAVESH RATN,Aam Aadmi Party,57408,104,57512
24,3,RAAJ KUMAR ANAND,Bharatiya Janata Party,53273,190,53463
24,4,RAM AVTAR,Bahujan Samaj Party,712,2,714
24,5,ASHOK KUMAR,Aazad Samaj Party (Kanshi Ram),255,0,255
24,6,NOTA,None of the Above,768,4,772
25,1,AVINASH GUPTA,Bahujan Samaj Party,848,3,851
25,2,RAJENDER SINGH,Indian National Congress,3316,18,3334
25,3,SHIVCHARAN GOEL,Aam Aadmi Party,45827,81,45908
25,4,HARISH KHURANA,Bharatiya Janata Party,57364,201,57565
25,5,GOURAV BOTHRA,Right to Recall Party,124,0,124
25,6,MAHESH DUBEY,Bharatiya Liberal Party,35,0,35
25,7,VIJAY KUMAR SHARMA,Rashtriya Manav Party,63,0,63
25,8,VISHAL SAHNI,Voters Party International,70,0,70
25,9,SANAULLAH,Nationalist Congress Party,60,0,60
25,10,GAURI SHANKAR,Independent,170,0,170
25,11,SADRE ALAM,Independent,415,1,416
25,12,HARISH,Independent,76,0,76
25,13,NOTA,None of the Above,687,2,689
26,1,KAILASH GANGWAL,Bharatiya Janata Party,51824,195,52019
26,2,J. P. PANWAR,Indian National Congress,17878,80,17958
26,3,RAKHI BIRLA,Aam Aadmi Party,41034,86,41120
26,4,ROOP SINGH AHIRWAR,Bahujan Samaj Party,319,2,321
26,5,RANDHIR KUMAR,Asankhya Samaj Party,66,0,66
26,6,RANDHIR SINGH TANDI,Jai Maha Bharath Party,204,0,204
26,7,ROHIT KASHYAP,Hamara Sahi Vikalp Party,105,0,105
26,8,DHARAMVEER,Independent,206,0,206
26,9,RAVI,Independent,113,0,113
26,10,NOTA,None of the Above,773,5,778
27,1,A DHANWATI CHANDELA A,Aam Aadmi Party,45835,107,45942
27,2,DHARAM PAL CHANDELA,Indian National Congress,3171,27,3198
27,3,MANJINDER SINGH SIRSA,Bharatiya Janata Party,63883,249,64132
27,4,SHASHI PABHA,Bahujan Samaj Party,286,2,288
27,5,KAMLA DEVI,Aapki Apni Party (Peoples),64,1,65
27,6,KARAN TALWAR,Aam Aadmi Parivartan Party,225,0,225
27,7,JAYA RAMAN,Sanjhi Virasat Party,89,0,89
27,8,VISHAL SANGWAN,Right to Recall Party,84,0,84
27,9,NOTA,None of the Above,778,5,783
28,1,PREM BALLABH,Indian National Congress,4175,77,4252
28,2,BINDU KUMAR,Bahujan Samaj Party,566,3,569
28,3,SHYAM SHARMA,Bharatiya Janata Party,49608,571,50179
28,4,SURINDER KUMAR SETIA,Aam Aadmi Party,43262,285,43547
28,5,PREETAM CHAND,Rashtriya Janshakti Party (Secular),81,0,81
28,6,MOHAN LAL BHARDWAJ,Bharatheeya Jawan Kisan Party,83,0,83
28,7,ASHOK KUMAR,Independent,28,1,29
28,8,MAYANK MEHTA,Independent,98,0,98
28,9,RAJ KUMARI DHILLON,Independent,3367,31,3398
28,10,SABIR KHAN,Independent,89,2,91
28,11,NOTA,None of the Above,705,8,713
29,1,ASHOK KUMAR GAUTAM,Bahujan Samaj Party,296,5,301
29,2,JARNAIL SINGH,Aam Aadmi Party,51955,179,52134
29,3,PARVINDER SINGH ALIAS P S BAWA,Indian National Congress,2716,31,2747
29,4,SHVETA SAINI,Bharatiya Janata Party,40233,245,40478
29,5,RAJIV KUMAR BABBAR,Independent,91,0,91
29,6,SHWETA,Independent,145,0,145
29,7,NOTA,None of the Above,600,7,607
30,1,ASHISH SOOD,Bharatiya Janata Party,68564,422,68986
30,2,PARVEEN KUMAR,Aam Aadmi Party,50045,175,50220
30,3,RAVI PARTAP RAO,Bahujan Samaj Party,458,3,461
30,4,HARBANI KAUR,Indian National Congress,3305,40,3345
30,5,KASHMIR CHAND,Buland Bharat Party,47,1,48
30,6,CHAMAN LAL VERMA,Aam Janshakti Party,69,1,70
30,7,DHARAM VEER,Suheldev Bharatiya Samaj Party,61,0,61
30,8,MD NAVEEN,Nationalist Congress Party,80,0,80
30,9,NIZAMUDDIN KHAN,Adarshwaadi Congress Party,43,0,43
30,10,MOHD OJER,Azad Adhikar Sena,91,0,91
30,11,RAJ KUMAR,All India National Raksha Sena,20,0,20
30,12,ALTAF AHMAD,Independent,182,1,183
30,13,ASHISH SOOD,Independent,56,1,57
30,14,TARUN KUMAR SHARMA,Independent,60,0,60
30,15,PRAVEEN KUMAR,Independent,193,0,193
30,16,PRAVEEN KUMAR,Independent,210,0,210
30,17,NOTA,None of the Above,684,7,691
31,1,KRISHNA THAKUR,Bahujan Samaj Party,2563,10,2573
31,2,JITENDER SOLANKI,Indian National Congress,8279,68,8347
31,3,PANKAJ KUMAR SINGH,Bharatiya Janata Party,132447,526,132973
31,4,MAHINDER YADAV,Aam Aadmi Party,119340,269,119609
31,5,UMESH CHAUHAN,Aazad Samaj Party (Kanshi Ram),438,0,438
31,6,PREM PAL SINGH,Rashtriya Janshakti Party (Secular),94,0,94
31,7,RAJU RICHARIYA,Rashtriya Rashtrawadi Party,68,0,68
31,8,RANJEET KUMAR,Rashtriya Manav Party,137,0,137
31,9,LALA RAM,Bhartiya Panchsheel Party,293,0,293
31,10,SHARDA DIXIT,Socialist Unity Centre Of India (COMMUNIST),412,0,412
31,11,SHEJO VARGHESE,Communist Party of India,668,2,670
31,12,AMAN SAINI,Independent,281,0,281
31,13,HIRA LAL SAH,Independent,384,1,385
31,14,NOTA,None of the Above,1432,8,1440
32,1,PAWAN SHARMA,Bharatiya Janata Party,103137,476,103613
32,2,POSH BALYAN,Aam Aadmi Party,73705,168,73873
32,3,MANI RAM,Bahujan Samaj Party,983,8,991
32,4,MUKESH SHARMA,Indian National Congress,15474,91,15565
32,5,DUSHYANT THAKUR,Yuva Bharat Rashtraseva Party,185,0,185
32,6,RAJIV BHRIGUKUMAR,Rashtriya Lok Janshakti Party,79,0,79
32,7,SHYAM BABU,Gareeb Aadmi Party,168,0,168
32,8,DINESH KUMAR SAH,Independent,204,2,206
32,9,JOURNALIST RAMESH KUMAR JAIN @ NIRBHIK,Independent,196,0,196
32,10,NOTA,None of the Above,1209,8,1217
33,1,ADARSH SHASTRI,Indian National Congress,6723,50,6773
33,2,PARDEEP KUMAR,Bahujan Samaj Party,541,4,545
33,3,PARDUYMN SINGH RAJPUT,Bharatiya Janata Party,68832,305,69137
33,4,VINAY MISHRA,Aam Aadmi Party,61136,172,61308
33,5,ARAVENDRA KUMAR,Suheldev Bharatiya Samaj Party,131,0,131
33,6,G. THULASEEDHARAN,Peoples Green Party,58,0,58
33,7,MEHAR CHARAN,Samaj Vikas Kranti Party,76,0,76
33,8,YOGESH SWAMI,Right to Recall Party,44,0,44
33,9,RAJNEESH KUMAR JHA,National Youth Party,130,0,130
33,10,RAVI RATHORE,Republican Sena,73,1,74
33,11,RAMESHWAR MAHTO,Rashtriya Manav Party,223,0,223
33,12,ASHOK JINDAL,Independent,172,0,172
33,13,GAUTAM SINGH BIHARI,Independent,104,0,104
33,14,NOTA,None of the Above,725,4,729
34,1,KAMLESH KUMAR,Bahujan Samaj Party,1116,18,1134
34,2,RAGHVINDER SINGH,Indian National Congress,9565,120,9685
34,3,SUMESH SHOKEEN,Aam Aadmi Party,117042,530,117572
34,4,SANDEEP SEHRAWAT,Bharatiya Janata Party,144938,1357,146295
34,5,ARVIND KUMAR PANDEY,Rashtriya Janshakti Party (Secular),345,0,345
34,6,NIRAJ KUMAR,National Youth Party,73,0,73
34,7,PRABHAT KUMAR,One Bharat Citizen Party,157,5,162
34,8,MOHINDER SINGH,Rashtriya Rashtrawadi Party,88,0,88
34,9,YOGESH KUMAR SHARMA,Right to Recall Party,121,0,121
34,10,VINOD KUMAR CHAUHAN,Suheldev Bharatiya Samaj Party,156,1,157
34,11,PUNAM PANDEY,Independent,498,3,501
34,12,YOGESH KUMAR,Independent,569,0,569
34,13,RAJNI SHARMA,Independent,174,0,174
34,14,NOTA,None of the Above,1994,24,2018
35,1,TARUN KUMAR,Aam Aadmi Party,72024,675,72699
35,2,NEELAM PAHALWAN,Bharatiya Janata Party,100058,1650,101708
35,3,ROHIT,Bahujan Samaj Party,873,30,903
35,4,SUSHMA DEVI YADAV,Indian National Congress,2839,63,2902
35,5,JALANDHAR PANDIT,"Proutist Bloc, India",210,4,214
35,6,BHARAT SINGH,Peoples Party of India (Democratic),88,5,93
35,7,RAHUL KUMAR,Right to Recall Party,70,1,71
35,8,MANOJ KUMAR,Independent,173,0,173
35,9,MANGE RAM SANGWAN,Independent,222,3,225
35,10,NOTA,None of the Above,1317,29,1346
36,1,KAMAL SINGH,Bahujan Samaj Party,698,4,702
36,2,KAILASH GAHLOT,Bharatiya Janata Party,64587,364,64951
36,3,COL DEVINDER KUMAR SEHRAWAT,Indian National Congress,9334,75,9409
36,4,SURENDER BHARDWAJ,Aam Aadmi Party,53462,213,53675
36,5,NARENDER SINGH,Republican Sena,96,0,96
36,6,NAVEEN KUMAR,Hamara Sahi Vikalp Party,91,0,91
36,7,PUNAM PANDEY,Rashtravadi Loktantrik Party (India),153,0,153
36,8,LALITA TRIVEDI,Bhartiya Krishak Dal,48,0,48
36,9,AMRINA,Independent,113,0,113
36,10,NISHANT SEHRAWAT,Independent,192,1,193
36,11,MONIS KURESHI,Independent,225,0,225
36,12,SOM DUTT SHARMA,Independent,91,1,92
36,13,NOTA,None of the Above,755,1,756
37,1,KULDEEP SOLANKI,Bharatiya Janata Party,81589,457,82046
37,2,GEETA,Bahujan Samaj Party,805,5,810
37,3,JOGINDER SOLANKI,Aam Aadmi Party,72844,250,73094
37,4,MANGE RAM,Indian National Congress,4655,42,4697
37,5,DILIP KUMAR,Communist Party of India,325,1,326
37,6,MANU GAUTAM,Peoples Party of India (Democratic),220,1,221
37,7,PRASHANT CHAUHAN,Independent,301,1,302
37,8,NOTA,None of the Above,1109,10,1119
38,1,NAMIT KUMAR GAUTAM,Bahujan Samaj Party,232,0,232
38,2,PRADEEP KUMAR UPMANYU,Indian National Congress,4230,22,4252
38,3,BHUVAN TANWAR,Bharatiya Janata Party,20073,89,20162
38,4,VIRENDER SINGH KADIAN,Aam Aadmi Party,22140,51,22191
38,5,SACHIN,Bharatiya Sampuran Krantikari Party,70,0,70
38,6,SURENDER KUMAR,Peoples Party of India (Democratic),72,0,72
38,7,ASHOK AGYANI,Independent,149,0,149
38,8,NOTA,None of the Above,327,3,330
39,1,UMANG BAJAJ,Bharatiya Janata Party,46391,280,46671
39,2,DURGESH PATHAK,Aam Aadmi Party,45290,150,45440
39,3,VINEET YADAV,Indian National Congress,3995,20,4015
39,4,SHIV PRASAD VERMA,Bahujan Samaj Party,147,3,150
39,5,PANKAJ JAGYA,Republican Party of India (Athawale),65,0,65
39,6,PRAVEEN KUMAR BHARTI,Aazad Samaj Party (Kanshi Ram),155,0,155
39,7,UMANG,Independent,143,1,144
39,8,NOTA,None of the Above,565,6,571
40,1,ARVIND KEJRIWAL,Aam Aadmi Party,25865,134,25999
40,2,PARVESH SAHIB SINGH,Bharatiya Janata Party,29878,210,30088
40,3,VIRENDER,Bahujan Samaj Party,142,0,142
40,4,SANDEEP DIKSHIT,Indian National Congress,4531,37,4568
40,5,ARUN KUMAR SHARMA,Delhi Janta Party,21,0,21
40,6,ISHWAR CHAND,Bharatrashtra Democratic Party,4,0,4
40,7,JAGDEESH PRASAD,Samarth Bharatvarsh Party,22,0,22
40,8,DUGGIRALA NAGESWARA RAO,Jatiya Jana Sena Party,39,0,39
40,9,NARESH KUMAR,Aapki Apni Party (Peoples),37,0,37
40,10,NITYA NAND SINGH,Rashtriya Manav Party,8,0,8
40,11,MUKESH JAIN,Rashtrawadi Janlok Party (Satya),8,0,8
40,12,DR. MUNISH KUMAR RAIZADA,Bharatiya Liberal Party,75,1,76
40,13,RAVINDER SINGH RAWAT,Haryana Jansena Party,14,1,15
40,14,SANGHA NAND BAUDDH,Bhim Sena,8,0,8
40,15,SANTOSH KUMAR,Right to Recall Party,30,0,30
40,16,SANTOSH RAI,Abhinav Bharat Party,53,0,53
40,17,ANITA,Independent,55,0,55
40,18,ANURADHA RANA,Independent,72,0,72
40,19,DR. ABHILASHA,Independent,31,0,31
40,20,PANKAJ SHARMA,Independent,9,0,9
40,21,BHAWANA,Independent,11,0,11
40,22,SANJAY RAWAT,Independent,16,1,17
40,23,HAIDER ALI,Independent,9,0,9
40,24,NOTA,None of the Above,306,8,314
